ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-10,10382.259183038463,12233.911989968812,15127.277766395404,10382.259183038463,10382.259183038463,3256.984217215221,3256.984217215221,3256.984217215221,3256.984217215221,3256.984217215221,3256.984217215221,0.0,0.0,0.0,13639.243400253683
2021-01-17,10401.766900687637,13310.79543725845,16191.243882304401,10401.766900687637,10401.766900687637,4270.963844694322,4270.963844694322,4270.963844694322,4270.963844694322,4270.963844694322,4270.963844694322,0.0,0.0,0.0,14672.73074538196
2021-01-24,10421.274618336807,13953.619022258536,16858.36248985287,10421.274618336807,10421.274618336807,4890.005677451957,4890.005677451957,4890.005677451957,4890.005677451957,4890.005677451957,4890.005677451957,0.0,0.0,0.0,15311.280295788765
2021-01-31,10440.782337444516,13929.590714162438,16892.86345076837,10440.782337444516,10440.782337444516,5022.2845855300075,5022.2845855300075,5022.2845855300075,5022.2845855300075,5022.2845855300075,5022.2845855300075,0.0,0.0,0.0,15463.066922974524
2021-02-07,10460.290056552227,13995.744167716244,16874.67409210435,10460.290056552227,10460.290056552227,5007.716839484071,5007.716839484071,5007.716839484071,5007.716839484071,5007.716839484071,5007.716839484071,0.0,0.0,0.0,15468.006896036299
2021-02-14,10479.797775659934,13951.66231297201,16853.733196727317,10479.797775659934,10479.797775659934,4997.529008176192,4997.529008176192,4997.529008176192,4997.529008176192,4997.529008176192,4997.529008176192,0.0,0.0,0.0,15477.326783836126
2021-02-21,10499.305494767643,13790.503979130368,16591.43610867903,10499.305494767643,10499.305494767643,4612.581459036667,4612.581459036667,4612.581459036667,4612.581459036667,4612.581459036667,4612.581459036667,0.0,0.0,0.0,15111.88695380431
2021-02-28,10518.813213875352,12385.61599369242,15326.925280602065,10518.813213875352,10518.813213875352,3359.6625481821543,3359.6625481821543,3359.6625481821543,3359.6625481821543,3359.6625481821543,3359.6625481821543,0.0,0.0,0.0,13878.475762057506
2021-03-07,10538.320932983062,10405.592616434504,13274.120089284588,10538.320932983062,10538.320932983062,1340.6395844342262,1340.6395844342262,1340.6395844342262,1340.6395844342262,1340.6395844342262,1340.6395844342262,0.0,0.0,0.0,11878.960517417288
2021-03-14,10557.828652090771,8636.12777264768,11348.666129930663,10557.828652090771,10557.828652090771,-614.8975453169951,-614.8975453169951,-614.8975453169951,-614.8975453169951,-614.8975453169951,-614.8975453169951,0.0,0.0,0.0,9942.931106773776
2021-03-21,10577.336371198478,7572.428421098444,10413.706857977408,10577.336371198478,10577.336371198478,-1621.0146876685938,-1621.0146876685938,-1621.0146876685938,-1621.0146876685938,-1621.0146876685938,-1621.0146876685938,0.0,0.0,0.0,8956.321683529884
2021-03-28,10596.844090306187,7635.52426510758,10401.722109185344,10596.844090306187,10596.844090306187,-1511.6625320987944,-1511.6625320987944,-1511.6625320987944,-1511.6625320987944,-1511.6625320987944,-1511.6625320987944,0.0,0.0,0.0,9085.181558207392
2021-04-04,10616.351807430454,8299.792242278974,11069.941669898533,10616.351807430454,10616.351807430454,-909.7026030653728,-909.7026030653728,-909.7026030653728,-909.7026030653728,-909.7026030653728,-909.7026030653728,0.0,0.0,0.0,9706.649204365081
2021-04-11,10635.859524554717,8599.024874562847,11371.98029573346,10635.859524554717,10635.859524554717,-584.2668684329803,-584.2668684329803,-584.2668684329803,-584.2668684329803,-584.2668684329803,-584.2668684329803,0.0,0.0,0.0,10051.592656121737
2021-04-18,10655.367241678981,8476.59877857285,11222.230883552174,10655.367241678981,10655.367241678981,-838.3608359261673,-838.3608359261673,-838.3608359261673,-838.3608359261673,-838.3608359261673,-838.3608359261673,0.0,0.0,0.0,9817.006405752814
2021-04-25,10674.874958803244,7738.340101342449,10660.486031835046,10674.874958803244,10674.874958803244,-1506.2453396411563,-1506.2453396411563,-1506.2453396411563,-1506.2453396411563,-1506.2453396411563,-1506.2453396411563,0.0,0.0,0.0,9168.629619162088
